complaint_text,category,priority
"Request for a new electricity connection at 5th Cross, SS Puram.",Electricity,Low
"A multi-car accident just happened at 1st Main, BTM Layout due to a broken road. Need help.",Roads,Urgent
"The main power cable to our building at 5th Cross, SS Puram is visibly damaged.",Electricity,Medium
The main sewer line at in front of Adarsh School is blocked and overflowing into the street.,Waste,Urgent
Our entire apartment complex (near the District Hospital) has had no water for 24 hours. We need a tanker.,Water,Urgent
The water from my tap has a slight odor. Can someone inspect near the KSRTC Bus Stand?,Water,Low
Request to repaint the lane markings on near the District Hospital.,Roads,Low
"Requesting a check on our water meter at at Gandhi Circle, the bill is 10x the normal amount.",Water,Medium
Toxic chemical barrels have been dumped near the lake at near the KSRTC Bus Stand.,Waste,Urgent
"The public toilet at 5th Cross, SS Puram is unusable, filthy, and has no water.",Waste,Medium
The community garbage bin at near the District Hospital is on fire!,Waste,Urgent
The water pressure in at Gandhi Circle has been extremely low for three days.,Water,Medium
Request for a new electricity connection at near the KSRTC Bus Stand.,Electricity,Low
"My neighbor at near the old post office is burning plastic waste every night, causing pollution.",Waste,Low
The public tap at MG Road is constantly dripping.,Water,Low
"A major water main has burst on in front of Adarsh School, and it's flooding the street!",Water,Urgent
A large dead animal (cow/dog) is on MG Road and needs to be removed immediately.,Waste,Urgent
"All the streetlights on Town Hall Circle are out, making it very dark and unsafe at night.",Roads,Medium
The public tap at MG Road is constantly dripping.,Water,Low
A small pothole is forming at Town Hall Circle. Please fix it before it gets bigger.,Roads,Low
"All the streetlights on MG Road are out, making it very dark and unsafe at night.",Roads,Medium
The community water tank at in front of the Railway Station is overflowing and about to collapse.,Water,Urgent
The community garbage bin at MG Road is on fire!,Waste,Urgent
The street sweeper has not come to in Jayanagar 3rd Block in two weeks.,Waste,Low
"The bridge at 1st Main, BTM Layout has a visible, large crack in it. It looks unsafe!",Roads,Urgent
"All the streetlights on at the City Market are out, making it very dark and unsafe at night.",Roads,Medium
Request for a bulk waste pickup for an old mattress at in the Industrial Area.,Waste,Low
"The traffic lights at Town Hall Circle junction are all dead, causing massive chaos and near-accidents.",Roads,Urgent
"Medical waste (needles, masks) has been dumped in the children's park at 5th Cross, SS Puram!",Waste,Urgent
Our entire apartment complex (at Melekote) has had no water for 24 hours. We need a tanker.,Water,Urgent
A large pile of construction debris is blocking the footpath at at Vinayaka Nagar.,Waste,Medium
"Medical waste (needles, masks) has been dumped in the children's park at 1st Main, BTM Layout!",Waste,Urgent
The water from my tap has a slight odor. Can someone inspect on Kuvempu Main Road?,Water,Low
"A water pipe has a constant, steady leak at near SIT College. Wasting so much water.",Water,Medium
A huge sinkhole has opened up in the middle of Town Hall Circle! A car could fall in.,Roads,Urgent
The streetlight at at Gandhi Circle is flickering non-stop.,Electricity,Low
Our entire apartment complex (at Vinayaka Nagar) has had no water for 24 hours. We need a tanker.,Water,Urgent
My water bill for at the City Market seems to be incorrect. Please check the reading.,Water,Low
Toxic chemical barrels have been dumped near the lake at Town Hall Circle.,Waste,Urgent
The community water tank at on Kuvempu Main Road is overflowing and about to collapse.,Water,Urgent
Live wires are exposed in a flooded area at MG Road. Extremely dangerous.,Electricity,Urgent
The streetlight (Pole #E-99) at at Gandhi Circle is on 24/7. It never turns off.,Electricity,Low
The main power cable to our building at at the City Market is visibly damaged.,Electricity,Medium
"The main manhole cover is broken and open at in front of the Railway Station, it's dangerous.",Water,Medium
Our entire apartment complex (Town Hall Circle) has had no water for 24 hours. We need a tanker.,Water,Urgent
The water from my tap has a slight odor. Can someone inspect at the City Market?,Water,Low
"The voltage at on the Ring Road is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
The streetlight (Pole #E-99) at B.H. Road is on 24/7. It never turns off.,Electricity,Low
"The voltage at B.H. Road is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
The street sweeper has not come to near the District Hospital in two weeks.,Waste,Low
The main power cable to our building at near the KSRTC Bus Stand is visibly damaged.,Electricity,Medium
A large pile of construction debris is blocking the footpath at at Melekote.,Waste,Medium
The community water tank at in front of Adarsh School is overflowing and about to collapse.,Water,Urgent
The zebra crossing paint at on the Ring Road is completely faded.,Roads,Low
The 'Do Not Litter' sign at near the District Hospital is broken.,Waste,Low
"The speed breaker at near the District Hospital is broken, and sharp metal rods are sticking out.",Roads,Medium
"My neighbor at near the old post office is burning plastic waste every night, causing pollution.",Waste,Low
The zebra crossing paint at in Jayanagar 3rd Block is completely faded.,Roads,Low
The community garbage bin at MG Road is on fire!,Waste,Urgent
"The public toilet at MG Road is unusable, filthy, and has no water.",Waste,Medium
"The main power cable to our building at 1st Main, BTM Layout is visibly damaged.",Electricity,Medium
A multi-car accident just happened at near SIT College due to a broken road. Need help.,Roads,Urgent
A large pile of construction debris is blocking the footpath at in Jayanagar 3rd Block.,Waste,Medium
A multi-car accident just happened at at Gandhinagar Park due to a broken road. Need help.,Roads,Urgent
Request to repaint the lane markings on at Gandhinagar Park.,Roads,Low
The community water tank at near the KSRTC Bus Stand is overflowing and about to collapse.,Water,Urgent
Requesting information on the water supply schedule for on Kuvempu Main Road.,Water,Low
"The main manhole cover is broken and open at in the Industrial Area, it's dangerous.",Water,Medium
The streetlight (Pole #E-99) at MG Road is on 24/7. It never turns off.,Electricity,Low
"Toxic chemical barrels have been dumped near the lake at 5th Cross, SS Puram.",Waste,Urgent
A huge sinkhole has opened up in the middle of on the Ring Road! A car could fall in.,Roads,Urgent
"A water pipe has a constant, steady leak at in front of the Railway Station. Wasting so much water.",Water,Medium
The streetlight at at the City Market is flickering non-stop.,Electricity,Low
A large pile of construction debris is blocking the footpath at in Jayanagar 3rd Block.,Waste,Medium
"Road signs are missing at the near the KSRTC Bus Stand intersection, and cars are going the wrong way.",Roads,Medium
The streetlight at in the Industrial Area is flickering non-stop.,Electricity,Low
"The voltage at in the Industrial Area is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
"All the streetlights on at Vinayaka Nagar are out, making it very dark and unsafe at night.",Roads,Medium
A large tree has fallen and is completely blocking at Vinayaka Nagar.,Roads,Urgent
The main power cable to our building at on the Ring Road is visibly damaged.,Electricity,Medium
Tree branches at in front of the Railway Station are touching the power lines and need to be trimmed.,Electricity,Low
"Requesting a check on our water meter at B.H. Road, the bill is 10x the normal amount.",Water,Medium
Request for a new electricity connection at at the City Market.,Electricity,Low
"The traffic lights at at the City Market junction are all dead, causing massive chaos and near-accidents.",Roads,Urgent
Raw sewage is backing up into homes on at Gandhi Circle. This is a critical health hazard.,Water,Urgent
"Road signs are missing at the MG Road intersection, and cars are going the wrong way.",Roads,Medium
The streetlight at on Kuvempu Main Road is flickering non-stop.,Electricity,Low
The 'Do Not Litter' sign at on Kuvempu Main Road is broken.,Waste,Low
My water bill for at Gandhi Circle seems to be incorrect. Please check the reading.,Water,Low
"The speed breaker at at Melekote is broken, and sharp metal rods are sticking out.",Roads,Medium
Please install a new speed bump in our residential area at B.H. Road.,Roads,Low
Request to repaint the lane markings on in front of the Railway Station.,Roads,Low
"The streetlight at 5th Cross, SS Puram is flickering non-stop.",Electricity,Low
A huge sinkhole has opened up in the middle of near the District Hospital! A car could fall in.,Roads,Urgent
The transformer at near the KSRTC Bus Stand just exploded! There is smoke and fire.,Electricity,Urgent
"A car crashed into the electric pole at near the old post office, and it's about to fall.",Electricity,Urgent
"A water pipe is gushing water onto the road at B.H. Road, causing a huge sinkhole.",Water,Urgent
The zebra crossing paint at MG Road is completely faded.,Roads,Low
The main sewer line at on the Ring Road is blocked and overflowing into the street.,Waste,Urgent
"The footpath on MG Road is completely broken, forcing pedestrians to walk on the road.",Roads,Medium
The water from my tap has a slight odor. Can someone inspect near the KSRTC Bus Stand?,Water,Low
"A large tree has fallen and is completely blocking 5th Cross, SS Puram.",Roads,Urgent
The garbage collection truck keeps spilling trash all over B.H. Road and not cleaning it.,Waste,Medium
"I smell burning plastic from the main electrical box at 5th Cross, SS Puram. It's a fire hazard.",Electricity,Urgent
"Road signs are missing at the near the KSRTC Bus Stand intersection, and cars are going the wrong way.",Roads,Medium
The 'Do Not Litter' sign at near the KSRTC Bus Stand is broken.,Waste,Low
"A car crashed into the electric pole at MG Road, and it's about to fall.",Electricity,Urgent
A large tree has fallen and is completely blocking in the Industrial Area.,Roads,Urgent
Tree branches at at Gandhi Circle are touching the power lines and need to be trimmed.,Electricity,Low
The cap on the water tank at on the Ring Road is loose and needs to be fixed.,Water,Low
My water bill for near SIT College seems to be incorrect. Please check the reading.,Water,Low
"The voltage at near the KSRTC Bus Stand is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
The zebra crossing paint at near SIT College is completely faded.,Roads,Low
A large dead animal (cow/dog) is on at Gandhi Circle and needs to be removed immediately.,Waste,Urgent
The street sweeper has not come to in the Industrial Area in two weeks.,Waste,Low
The 'Do Not Litter' sign at in front of Adarsh School is broken.,Waste,Low
Live wires are exposed in a flooded area at in the Industrial Area. Extremely dangerous.,Electricity,Urgent
Request to place a new community garbage bin at at Gandhinagar Park.,Waste,Low
Tree branches at near the District Hospital are touching the power lines and need to be trimmed.,Electricity,Low
Raw sewage is backing up into homes on at Melekote. This is a critical health hazard.,Water,Urgent
A large tree has fallen and is completely blocking in Jayanagar 3rd Block.,Roads,Urgent
"The main manhole cover is broken and open at in the Industrial Area, it's dangerous.",Water,Medium
The public tap at at Gandhinagar Park is constantly dripping.,Water,Low
"Road signs are missing at the in front of the Railway Station intersection, and cars are going the wrong way.",Roads,Medium
Our water has been brown and muddy for 2 days at at Melekote. It's undrinkable.,Water,Medium
The water from my tap has a slight odor. Can someone inspect near the District Hospital?,Water,Low
A multi-car accident just happened at at the City Market due to a broken road. Need help.,Roads,Urgent
Our entire area (at the City Market) has had no power for over 8 hours.,Electricity,Medium
Toxic chemical barrels have been dumped near the lake at near the District Hospital.,Waste,Urgent
Toxic chemical barrels have been dumped near the lake at at Vinayaka Nagar.,Waste,Urgent
The streetlight at near the old post office is flickering non-stop.,Electricity,Low
A large dead animal (cow/dog) is on in the Industrial Area and needs to be removed immediately.,Waste,Urgent
Request to place a new community garbage bin at at Gandhinagar Park.,Waste,Low
"The footpath on on the Ring Road is completely broken, forcing pedestrians to walk on the road.",Roads,Medium
"Requesting a check on our water meter at on the Ring Road, the bill is 10x the normal amount.",Water,Medium
Live wires are exposed in a flooded area at on Kuvempu Main Road. Extremely dangerous.,Electricity,Urgent
"A water pipe is gushing water onto the road at near the old post office, causing a huge sinkhole.",Water,Urgent
Request for a bulk waste pickup for an old mattress at at Gandhi Circle.,Waste,Low
The garbage collection truck keeps spilling trash all over on Kuvempu Main Road and not cleaning it.,Waste,Medium
The garbage collection truck keeps spilling trash all over in front of the Railway Station and not cleaning it.,Waste,Medium
"The speed breaker at near the old post office is broken, and sharp metal rods are sticking out.",Roads,Medium
Request for a bulk waste pickup for an old mattress at in front of the Railway Station.,Waste,Low
The zebra crossing paint at at Gandhi Circle is completely faded.,Roads,Low
The 'No Parking' sign at in front of the Railway Station has been knocked down.,Roads,Low
"My neighbor at 5th Cross, SS Puram is burning plastic waste every night, causing pollution.",Waste,Low
"The main manhole cover is broken and open at in front of the Railway Station, it's dangerous.",Water,Medium
Raw sewage is backing up into homes on in the Industrial Area. This is a critical health hazard.,Water,Urgent
"A water pipe is gushing water onto the road at MG Road, causing a huge sinkhole.",Water,Urgent
The zebra crossing paint at at Vinayaka Nagar is completely faded.,Roads,Low
Garbage has not been collected from on Kuvempu Main Road for 5 days. It stinks and is attracting dogs.,Waste,Medium
A large tree has fallen and is completely blocking in front of Adarsh School.,Roads,Urgent
The water pressure in on the Ring Road has been extremely low for three days.,Water,Medium
"A car crashed into the electric pole at near SIT College, and it's about to fall.",Electricity,Urgent
My water bill for in Jayanagar 3rd Block seems to be incorrect. Please check the reading.,Water,Low
A large pile of construction debris is blocking the footpath at at Vinayaka Nagar.,Waste,Medium
Request for a bulk waste pickup for an old mattress at in the Industrial Area.,Waste,Low
"The public toilet at 5th Cross, SS Puram is unusable, filthy, and has no water.",Waste,Medium
A high-tension power line has snapped and is sparking on the ground at on the Ring Road!,Electricity,Urgent
"The main manhole cover is broken and open at at the City Market, it's dangerous.",Water,Medium
Live wires are exposed in a flooded area at in front of the Railway Station. Extremely dangerous.,Electricity,Urgent
"The public tap at 5th Cross, SS Puram is constantly dripping.",Water,Low
"Requesting a check on our water meter at in Jayanagar 3rd Block, the bill is 10x the normal amount.",Water,Medium
"There is a very large, deep pothole at near SIT College that has damaged my car's tire.",Roads,Medium
"An entire street (on the Ring Road) has no working streetlights, it's pitch black.",Electricity,Medium
"An entire street (in front of the Railway Station) has no working streetlights, it's pitch black.",Electricity,Medium
"The community garbage bin at 1st Main, BTM Layout is on fire!",Waste,Urgent
The garbage collection truck keeps spilling trash all over in front of Adarsh School and not cleaning it.,Waste,Medium
The water pressure in at Vinayaka Nagar has been extremely low for three days.,Water,Medium
Garbage has not been collected from near the District Hospital for 5 days. It stinks and is attracting dogs.,Waste,Medium
"The voltage at at Vinayaka Nagar is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
"The storm drain on 1st Main, BTM Layout is completely blocked with plastic. It will flood when it rains.",Waste,Medium
The street sweeper has not come to in front of Adarsh School in two weeks.,Waste,Low
Garbage has not been collected from on Kuvempu Main Road for 5 days. It stinks and is attracting dogs.,Waste,Medium
"A car crashed into the electric pole at in front of Adarsh School, and it's about to fall.",Electricity,Urgent
The water pressure in in front of the Railway Station has been extremely low for three days.,Water,Medium
"A car crashed into the electric pole at in the Industrial Area, and it's about to fall.",Electricity,Urgent
"There is a very large, deep pothole at on Kuvempu Main Road that has damaged my car's tire.",Roads,Medium
Live wires are exposed in a flooded area at B.H. Road. Extremely dangerous.,Electricity,Urgent
A small pothole is forming at MG Road. Please fix it before it gets bigger.,Roads,Low
Garbage has not been collected from near SIT College for 5 days. It stinks and is attracting dogs.,Waste,Medium
My water bill for near the District Hospital seems to be incorrect. Please check the reading.,Water,Low
"My electricity meter at 5th Cross, SS Puram is not working. The display is blank.",Electricity,Low
A large dead animal (cow/dog) is on in the Industrial Area and needs to be removed immediately.,Waste,Urgent
Request for a new electricity connection at in front of the Railway Station.,Electricity,Low
Garbage has not been collected from Town Hall Circle for 5 days. It stinks and is attracting dogs.,Waste,Medium
The electrical junction box at at Gandhinagar Park is open and exposed to rain.,Electricity,Medium
The water from my tap has a slight odor. Can someone inspect MG Road?,Water,Low
Our water has been brown and muddy for 2 days at on the Ring Road. It's undrinkable.,Water,Medium
"A car crashed into the electric pole at in front of the Railway Station, and it's about to fall.",Electricity,Urgent
The main sewer line at at the City Market is blocked and overflowing into the street.,Waste,Urgent
Request to repaint the lane markings on at the City Market.,Roads,Low
Tree branches at at Gandhi Circle are touching the power lines and need to be trimmed.,Electricity,Low
Please install a new speed bump in our residential area at in Jayanagar 3rd Block.,Roads,Low
"The main manhole cover is broken and open at 1st Main, BTM Layout, it's dangerous.",Water,Medium
Raw sewage is backing up into homes on on the Ring Road. This is a critical health hazard.,Water,Urgent
Our entire apartment complex (Town Hall Circle) has had no water for 24 hours. We need a tanker.,Water,Urgent
My electricity meter at at the City Market is not working. The display is blank.,Electricity,Low
"A major water main has burst on on Kuvempu Main Road, and it's flooding the street!",Water,Urgent
"The public toilet at at Gandhi Circle is unusable, filthy, and has no water.",Waste,Medium
Garbage has not been collected from at Vinayaka Nagar for 5 days. It stinks and is attracting dogs.,Waste,Medium
"A water pipe is gushing water onto the road at near SIT College, causing a huge sinkhole.",Water,Urgent
The 'Do Not Litter' sign at Town Hall Circle is broken.,Waste,Low
"The speed breaker at in the Industrial Area is broken, and sharp metal rods are sticking out.",Roads,Medium
"The electrical junction box at 5th Cross, SS Puram is open and exposed to rain.",Electricity,Medium
"A car crashed into the electric pole at at Gandhi Circle, and it's about to fall.",Electricity,Urgent
A huge sinkhole has opened up in the middle of on the Ring Road! A car could fall in.,Roads,Urgent
My electricity meter at near the old post office is not working. The display is blank.,Electricity,Low
Request to place a new community garbage bin at in Jayanagar 3rd Block.,Waste,Low
A large tree has fallen and is completely blocking MG Road.,Roads,Urgent
"Road signs are missing at the B.H. Road intersection, and cars are going the wrong way.",Roads,Medium
My electricity meter at on the Ring Road is not working. The display is blank.,Electricity,Low
"Request for a new electricity connection at 1st Main, BTM Layout.",Electricity,Low
Our entire area (in front of the Railway Station) has had no power for over 8 hours.,Electricity,Medium
Garbage has not been collected from at Vinayaka Nagar for 5 days. It stinks and is attracting dogs.,Waste,Medium
A huge sinkhole has opened up in the middle of at Gandhinagar Park! A car could fall in.,Roads,Urgent
"The traffic lights at in front of Adarsh School junction are all dead, causing massive chaos and near-accidents.",Roads,Urgent
I smell burning plastic from the main electrical box at in front of Adarsh School. It's a fire hazard.,Electricity,Urgent
"Requesting a check on our water meter at in Jayanagar 3rd Block, the bill is 10x the normal amount.",Water,Medium
Requesting information on the water supply schedule for in front of the Railway Station.,Water,Low
"Medical waste (needles, masks) has been dumped in the children's park at Town Hall Circle!",Waste,Urgent
Request for a bulk waste pickup for an old mattress at near the old post office.,Waste,Low
"The footpath on at Gandhinagar Park is completely broken, forcing pedestrians to walk on the road.",Roads,Medium
"The traffic lights at near the old post office junction are all dead, causing massive chaos and near-accidents.",Roads,Urgent
"The traffic lights at at Gandhi Circle junction are all dead, causing massive chaos and near-accidents.",Roads,Urgent
"A large tree has fallen and is completely blocking 5th Cross, SS Puram.",Roads,Urgent
A large tree has fallen and is completely blocking at Vinayaka Nagar.,Roads,Urgent
Our entire area (on the Ring Road) has had no power for over 8 hours.,Electricity,Medium
I smell burning plastic from the main electrical box at in the Industrial Area. It's a fire hazard.,Electricity,Urgent
A large dead animal (cow/dog) is on on Kuvempu Main Road and needs to be removed immediately.,Waste,Urgent
Tree branches at Town Hall Circle are touching the power lines and need to be trimmed.,Electricity,Low
"The voltage at near the old post office is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
Request for a bulk waste pickup for an old mattress at near the KSRTC Bus Stand.,Waste,Low
"A water pipe is gushing water onto the road at at the City Market, causing a huge sinkhole.",Water,Urgent
I smell burning plastic from the main electrical box at at the City Market. It's a fire hazard.,Electricity,Urgent
I smell burning plastic from the main electrical box at Town Hall Circle. It's a fire hazard.,Electricity,Urgent
The water from my tap has a slight odor. Can someone inspect near SIT College?,Water,Low
The zebra crossing paint at in the Industrial Area is completely faded.,Roads,Low
"The voltage at in front of the Railway Station is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
Request to place a new community garbage bin at near the District Hospital.,Waste,Low
"Our entire apartment complex (5th Cross, SS Puram) has had no water for 24 hours. We need a tanker.",Water,Urgent
Requesting information on the water supply schedule for Town Hall Circle.,Water,Low
"The footpath on near the KSRTC Bus Stand is completely broken, forcing pedestrians to walk on the road.",Roads,Medium
Request for a bulk waste pickup for an old mattress at at the City Market.,Waste,Low
Request to repaint the lane markings on at Vinayaka Nagar.,Roads,Low
The garbage collection truck keeps spilling trash all over B.H. Road and not cleaning it.,Waste,Medium
A small pothole is forming at at Gandhinagar Park. Please fix it before it gets bigger.,Roads,Low
The water pressure in in Jayanagar 3rd Block has been extremely low for three days.,Water,Medium
"A car crashed into the electric pole at near the old post office, and it's about to fall.",Electricity,Urgent
The community water tank at Town Hall Circle is overflowing and about to collapse.,Water,Urgent
Our water has been brown and muddy for 2 days at at Vinayaka Nagar. It's undrinkable.,Water,Medium
The community water tank at in front of the Railway Station is overflowing and about to collapse.,Water,Urgent
"Requesting a check on our water meter at 5th Cross, SS Puram, the bill is 10x the normal amount.",Water,Medium
"There is a very large, deep pothole at at Gandhi Circle that has damaged my car's tire.",Roads,Medium
The community water tank at at Melekote is overflowing and about to collapse.,Water,Urgent
"Medical waste (needles, masks) has been dumped in the children's park at 1st Main, BTM Layout!",Waste,Urgent
"A car crashed into the electric pole at 1st Main, BTM Layout, and it's about to fall.",Electricity,Urgent
"A water pipe is gushing water onto the road at MG Road, causing a huge sinkhole.",Water,Urgent
The street sweeper has not come to at the City Market in two weeks.,Waste,Low
"A high-tension power line has snapped and is sparking on the ground at 5th Cross, SS Puram!",Electricity,Urgent
A large pile of construction debris is blocking the footpath at on Kuvempu Main Road.,Waste,Medium
"The main manhole cover is broken and open at B.H. Road, it's dangerous.",Water,Medium
A multi-car accident just happened at at the City Market due to a broken road. Need help.,Roads,Urgent
"The speed breaker at in front of the Railway Station is broken, and sharp metal rods are sticking out.",Roads,Medium
"The voltage at near the old post office is fluctuating wildly, and it's damaging our appliances.",Electricity,Medium
"Raw sewage is backing up into homes on 1st Main, BTM Layout. This is a critical health hazard.",Water,Urgent
Our entire area (MG Road) has had no power for over 8 hours.,Electricity,Medium
"The footpath on at Gandhi Circle is completely broken, forcing pedestrians to walk on the road.",Roads,Medium
Please install a new speed bump in our residential area at in front of the Railway Station.,Roads,Low
"There is a very large, deep pothole at near SIT College that has damaged my car's tire.",Roads,Medium
"A water pipe is gushing water onto the road at near the District Hospital, causing a huge sinkhole.",Water,Urgent
The 'Do Not Litter' sign at at Melekote is broken.,Waste,Low
The community garbage bin at MG Road is on fire!,Waste,Urgent
The 'No Parking' sign at near SIT College has been knocked down.,Roads,Low
The storm drain on in the Industrial Area is completely blocked with plastic. It will flood when it rains.,Waste,Medium
Tree branches at Town Hall Circle are touching the power lines and need to be trimmed.,Electricity,Low
"The bridge at MG Road has a visible, large crack in it. It looks unsafe!",Roads,Urgent
"The public toilet at near the District Hospital is unusable, filthy, and has no water.",Waste,Medium
A multi-car accident just happened at at the City Market due to a broken road. Need help.,Roads,Urgent
"An entire street (at Vinayaka Nagar) has no working streetlights, it's pitch black.",Electricity,Medium
"My neighbor at at the City Market is burning plastic waste every night, causing pollution.",Waste,Low
The 'No Parking' sign at at Gandhi Circle has been knocked down.,Roads,Low
The storm drain on in front of Adarsh School is completely blocked with plastic. It will flood when it rains.,Waste,Medium
"A major water main has burst on in Jayanagar 3rd Block, and it's flooding the street!",Water,Urgent
"A car crashed into the electric pole at in the Industrial Area, and it's about to fall.",Electricity,Urgent
"An entire street (on Kuvempu Main Road) has no working streetlights, it's pitch black.",Electricity,Medium
"A water pipe has a constant, steady leak at MG Road. Wasting so much water.",Water,Medium
"A water pipe has a constant, steady leak at near the KSRTC Bus Stand. Wasting so much water.",Water,Medium
The 'Do Not Litter' sign at on the Ring Road is broken.,Waste,Low
Live wires are exposed in a flooded area at MG Road. Extremely dangerous.,Electricity,Urgent
The water from my tap has a slight odor. Can someone inspect at Gandhinagar Park?,Water,Low
"Please install a new speed bump in our residential area at 5th Cross, SS Puram.",Roads,Low
The transformer at on the Ring Road just exploded! There is smoke and fire.,Electricity,Urgent
Request to place a new community garbage bin at at Gandhinagar Park.,Waste,Low
My water bill for near the KSRTC Bus Stand seems to be incorrect. Please check the reading.,Water,Low
"All the streetlights on at Melekote are out, making it very dark and unsafe at night.",Roads,Medium
The electrical junction box at Town Hall Circle is open and exposed to rain.,Electricity,Medium
The water pressure in B.H. Road has been extremely low for three days.,Water,Medium
Our water has been brown and muddy for 2 days at at Vinayaka Nagar. It's undrinkable.,Water,Medium
The main sewer line at near the KSRTC Bus Stand is blocked and overflowing into the street.,Waste,Urgent
"A large dead animal (cow/dog) is on 1st Main, BTM Layout and needs to be removed immediately.",Waste,Urgent
The cap on the water tank at near the District Hospital is loose and needs to be fixed.,Water,Low
"The main manhole cover is broken and open at on the Ring Road, it's dangerous.",Water,Medium
The main power cable to our building at at the City Market is visibly damaged.,Electricity,Medium
My electricity meter at B.H. Road is not working. The display is blank.,Electricity,Low
The main power cable to our building at in front of Adarsh School is visibly damaged.,Electricity,Medium
